,place,rate,address,store_date,store_time,price,커피가맛있어요,음료가맛있어요,인테리어가멋져요,대화하기좋아요,디저트가맛있어요,뷰가좋아요,사진이잘나와요,친절해요,집중하기좋아요,음식이맛있어요,매장이넓어요,매장이청결해요,주차하기편해요,빵이맛있어요,특별한메뉴가있어요,가성비가좋아요,재료가신선해요,좌석이편해요,차가맛있어요
0,토크넌센스,-1.0,서울 동작구 흑석로8길 7 Talk nonsense,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '정기휴무 (매주 일요일)']",4000.0,12,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,THE한강,4.63,서울 동작구 노량진로32길 29-6,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더', '09:00 - 22:00\n21:00 라스트오더']",3500.0,132,66,0,0,0,215,57,52,0,0,0,0,0,0,0,0,0,0,0
2,잔디속에있다고상상을해,-1.0,서울 동작구 상도로 265-30 2층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 23:00\n22:30 라스트오더', '11:00 - 21:00\n20:30 라스트오더']",4500.0,22,13,16,0,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0
3,뚜스뚜스 흑석역점,4.33,서울 동작구 현충로 75 원불교기념관 1층,['매일'],['07:00 - 23:30'],-1.0,0,0,93,0,0,0,0,0,0,402,274,104,100,0,0,0,0,0,0
4,브레드숨,4.41,서울 동작구 노량진로18길 37,"['월', '화', '수', '목', '금', '토', '일']","['10:30 - 19:30', '10:30 - 19:30', '10:30 - 19:30', '10:30 - 19:30', '10:30 - 19:30', '정보없음', '정기휴무 (매주 일요일)']",2300.0,0,0,0,0,0,0,0,52,0,0,0,15,0,205,47,21,0,0,0
5,모녀당 상도점,-1.0,서울 동작구 양녕로 272 2층,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 20:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00']",3000.0,26,0,0,10,40,0,0,17,0,0,0,10,0,0,0,0,0,0,0
6,프랑세즈,4.59,서울 동작구 현충로 96,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '정기휴무 (매주 일요일)']",1800.0,91,0,0,0,0,0,0,145,0,0,0,66,0,374,92,0,0,0,0
7,터방내,4.48,서울 동작구 흑석로 101-7,['매일'],['11:00 - 24:00'],3000.0,75,0,49,44,0,0,0,40,0,0,0,0,0,0,48,0,0,0,0
8,컵오브커브,-1.0,서울 동작구 현충로 99 1층,"['월', '화', '수', '목', '금', '토', '일']","['15:00 - 24:00', '15:00 - 24:00', '15:00 - 24:00', '15:00 - 24:00', '15:00 - 24:00', '12:00 - 24:00', '12:00 - 24:00']",4000.0,7,11,21,0,0,0,12,0,0,0,0,9,0,0,0,0,0,0,0
9,페이브베이커리 흑석점,4.38,서울 동작구 서달로14가길 1,['매일'],['09:00 - 21:40'],-1.0,155,73,0,0,106,0,0,51,0,0,0,63,0,0,0,0,0,0,0
10,토크넌센스,-1.0,서울 동작구 흑석로8길 7 Talk nonsense,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더', '정기휴무 (매주 일요일)']",4000.0,12,7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,오후홍콩,4.46,서울 동작구 흑석로13가길 29 오후홍콩,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00']",3500.0,28,25,0,11,24,0,0,11,0,0,0,0,0,0,0,0,0,0,0
12,베브릿지 중앙대점,4.48,서울 동작구 흑석로9길 4 1층 베브릿지 중앙대점,['매일'],['10:00 - 22:00'],-1.0,60,82,0,0,32,0,0,29,0,0,0,0,0,0,38,0,0,0,0
13,액션커피,-1.0,서울 동작구 서달로15길 23 104호 액션커피,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '11:00 - 21:00\n20:50 라스트오더', '정기휴무 (매주 일요일)']",4500.0,24,0,7,0,8,0,0,11,0,0,0,0,0,0,14,0,0,0,0
14,브라운필 빵공장,-1.0,서울 동작구 흑석로 11 1층,['매일'],['07:30 - 23:00'],3000.0,19,7,0,0,0,0,0,5,0,0,0,0,0,38,5,0,0,0,0
15,커스텀요거트,4.91,서울 동작구 흑석로 91 1층 커스텀요거트,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '11:00 - 20:30\n14:00 - 15:00 브레이크타임', '12:00 - 19:00', '정기휴무 (매주 일요일)']",-1.0,0,0,0,0,183,0,0,186,0,0,0,111,0,0,136,98,0,0,0
16,아츠베이커리,4.69,서울 동작구 현충로 52,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '정기휴무 (매주 토요일)', '정기휴무 (매주 일요일)']",2000.0,0,0,9,0,0,0,0,29,0,0,0,24,0,52,24,0,0,0,0
17,펠어커피 상도점,4.66,서울 동작구 상도로41가길 12 1층 펠어커피,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00']",3300.0,24,21,0,10,13,0,0,19,0,0,0,0,0,0,0,0,0,0,0
18,히뽀1997,4.6,서울 동작구 노량진로24길 36,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '정기휴무 (매주 화요일)', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00']",-1.0,11,11,15,0,0,0,0,24,0,0,0,0,0,44,0,0,0,0,0
19,베러댄와플 중앙대점,4.64,서울 동작구 서달로 163 세명빌딩 1층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '정기휴무 (매주 일요일)']",-1.0,18,9,0,0,36,0,0,16,0,0,0,0,0,0,0,11,0,0,0
20,"카페,로뎀",4.48,서울 동작구 현충로 94 1층 카페로뎀,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 21:00\n20:30 라스트오더', '08:00 - 21:00\n20:30 라스트오더', '08:00 - 21:00\n20:30 라스트오더', '08:00 - 21:00\n20:30 라스트오더', '08:00 - 21:00\n20:30 라스트오더', '08:00 - 17:00\n16:30 라스트오더', '정기휴무 (매주 일요일)']",2500.0,0,0,9,0,0,0,0,28,0,46,0,0,0,0,0,14,27,0,0
21,드웨이,4.87,서울 동작구 상도로41마길 15 1층,"['월', '화', '수', '목', '금', '토', '일']","['12:00 - 18:00', '정기휴무 (매주 화요일)', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00']",-1.0,29,0,27,0,62,0,0,30,0,0,0,22,0,0,0,0,0,0,0
22,가춘,4.56,서울 동작구 상도로 357,"['월', '화', '수', '목', '금', '토(9/3)', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '정기휴무 (격주 토요일)', '10:00 - 22:00']",2800.0,0,0,0,0,0,0,0,71,0,0,0,21,0,259,35,28,0,0,0
23,우리동네 식빵해적단,4.55,서울 동작구 상도로47가길 48,"['월', '화', '수', '목', '금', '토', '일']","['13:00 - 21:00', '13:00 - 21:00', '13:00 - 21:00', '13:00 - 21:00', '13:00 - 21:00', '13:00 - 21:00', '정기휴무 (매주 일요일)']",-1.0,0,0,0,0,0,0,0,10,0,0,0,8,0,52,7,7,0,0,0
24,블랑제리꾸끄,4.64,서울 동작구 만양로 37 1층,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00']",2800.0,13,0,0,0,0,0,0,23,0,0,0,12,0,55,18,0,0,0,0
25,이공커피 흑석본점,4.63,서울 동작구 서달로 151 이공커피,['매일'],['08:00 - 22:00'],500.0,154,63,0,0,0,0,0,93,0,0,0,61,0,0,0,109,0,0,0
26,커피나무 랩,4.48,서울 동작구 상도로53길 65 커피나무빌딩 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:30 - 23:00', '08:30 - 23:00']",4300.0,40,0,0,0,21,0,0,24,18,0,0,26,0,0,0,0,0,0,0
27,러윗츠,4.69,서울 동작구 상도로41길 24 1층,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '12:00 - 20:00', '12:00 - 20:00', '12:00 - 20:00', '12:00 - 20:00', '12:00 - 20:00', '12:00 - 20:00']",2500.0,0,0,0,0,0,0,0,29,0,0,0,15,0,18,26,14,0,0,0
28,컴포즈커피 중앙대점,4.44,서울 동작구 흑석로 109 1층,['매일'],['08:00 - 22:00'],-1.0,177,65,0,0,0,0,0,53,0,0,0,21,0,0,0,115,0,0,0
29,설빙 서울중앙대점,-1.0,서울 동작구 흑석로 101-10 2층,"['월', '화', '수', '목', '금', '토', '일']","['12:00 - 22:00\n21:15 라스트오더', '12:00 - 22:00\n21:15 라스트오더', '12:00 - 22:00\n21:15 라스트오더', '12:00 - 22:00\n21:15 라스트오더', '12:00 - 22:00\n21:15 라스트오더', '12:00 - 23:00\n22:15 라스트오더', '12:00 - 23:00\n22:15 라스트오더']",8900.0,12,21,0,0,60,0,0,14,0,0,0,0,0,0,20,0,0,0,0
30,앳더블랑,4.38,서울 동작구 흑석로13가길 33 1층,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00\n21:15 라스트오더', '10:00 - 22:00\n21:15 라스트오더', '10:00 - 22:00\n21:15 라스트오더', '10:00 - 22:00\n21:15 라스트오더', '10:00 - 22:00\n21:15 라스트오더', '12:00 - 22:00\n21:15 라스트오더', '정기휴무 (매주 일요일)']",2400.0,9,0,6,0,11,0,0,9,0,0,0,10,0,0,0,0,0,0,0
31,유프카페 중앙대후문점,-1.0,서울 동작구 흑석로 27 2층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 23:00', '11:00 - 23:00', '11:00 - 23:00', '11:00 - 23:00', '11:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00']",4500.0,20,22,0,0,21,0,0,20,0,0,0,0,0,0,20,0,0,0,0
32,그랩커피&브런치,4.5,서울 동작구 흑석로8길 12 1층 그랩커피&브런치,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '정기휴무 (매주 일요일)']",4000.0,0,0,12,0,0,0,0,21,0,24,0,0,0,0,0,9,12,0,0
33,"카페, 순",-1.0,"서울 동작구 만양로 42 우성아파트 정문 대로변, 우성아파트 정문 대로변, 우성아파트 정문 대로변","['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '정기휴무 (매주 일요일)']",-1.0,35,21,0,0,30,0,0,18,0,0,0,0,0,0,18,0,0,0,0
34,바로요거,-1.0,서울 동작구 흑석로 124-1 1층,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 21:00', '10:00 - 21:00', '10:00 - 21:00', '10:00 - 21:00', '10:00 - 21:00', '13:00 - 20:00', '13:00 - 20:00']",6000.0,13,0,18,0,26,0,0,23,0,0,0,16,0,0,0,0,0,0,0
35,청맥살롱,4.81,서울 동작구 서달로 161-1 2층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '11:00 - 21:00', '12:00 - 21:00', '12:00 - 21:00']",4000.0,10,0,0,10,0,0,0,12,10,0,0,0,0,0,0,0,0,7,0
36,엘리스파이,-1.0,서울 동작구 흑석로 95 엘리스파이,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 21:00', '10:00 - 21:00']",2500.0,5,0,0,0,0,0,0,5,0,0,0,7,0,50,17,0,0,0,0
37,LITITCOFFEE,4.55,서울 동작구 상도로47바길 48 1층 릿잇커피,['매일'],['11:00 - 새벽 01:00'],3800.0,23,11,0,0,0,0,0,15,14,0,0,15,0,0,0,0,0,0,0
38,스타벅스 중앙대점,4.48,서울 동작구 흑석로 75-1,"['월(8/29)', '화(8/30)', '수(8/31)', '목(9/1)', '금(9/2)', '토(9/3)', '일(9/4)']","['07:30 - 20:30', '07:30 - 20:30', '07:30 - 20:30', '07:30 - 20:30', '07:30 - 20:30', '07:30 - 20:30', '08:00 - 20:00']",-1.0,358,156,0,0,115,0,0,133,0,0,0,69,0,0,0,0,0,0,0
39,카페미뇽 중앙대점,4.51,서울 동작구 흑석로 97-1 1층,['매일'],['10:30 - 22:00'],3500.0,23,22,0,0,58,0,0,25,0,0,0,20,0,0,0,0,0,0,0
40,스타벅스 숭실대점,4.53,서울 동작구 사당로 4,"['월(8/29)', '화(8/30)', '수(8/31)', '목(9/1)', '금(9/2)', '토(9/3)', '일(9/4)']","['07:30 - 21:00', '07:30 - 21:00', '07:30 - 21:00', '07:30 - 21:00', '07:30 - 21:00', '07:30 - 20:00', '07:30 - 20:00']",-1.0,457,148,0,0,120,0,0,162,106,0,0,0,0,0,0,0,0,0,0
41,이디야커피 상도중앙점,4.38,서울 동작구 만양로 17 1층 101 102호,['매일'],['08:00 - 22:00\n21:30 라스트오더'],-1.0,166,83,0,0,0,0,0,73,0,0,0,68,0,0,0,66,0,0,0
42,그루비,4.41,서울 동작구 상도로41길 13 1층,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '10:30 - 22:30', '10:30 - 22:30', '10:30 - 22:30', '10:30 - 22:30', '10:30 - 22:30', '10:30 - 22:30']",3500.0,19,5,5,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0
43,매머드익스프레스 중앙대후문점,-1.0,서울 동작구 흑석로 25 1층,"['월', '화', '수', '목', '금', '토', '일']","['07:30 - 22:00\n21:50 라스트오더', '07:30 - 22:00\n21:50 라스트오더', '07:30 - 22:00\n21:50 라스트오더', '07:30 - 22:00\n21:50 라스트오더', '07:30 - 22:00\n21:50 라스트오더', '08:30 - 21:30\n21:20 라스트오더', '08:30 - 21:30\n21:20 라스트오더']",900.0,170,69,0,0,0,0,0,32,0,0,0,31,0,0,0,143,0,0,0
44,배스킨라빈스 흑석DT,-1.0,서울 동작구 현충로 101 (흑석동) 1층,['매일'],['07:00 - 23:00'],-1.0,0,16,30,0,48,0,0,36,0,0,0,51,0,0,0,0,0,0,0
45,빅컵,4.42,서울 동작구 흑석로 14 빅컵,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '10:00 - 23:00', '10:00 - 23:00']",5000.0,19,0,10,0,12,0,0,17,0,0,0,0,0,0,0,0,0,22,0
46,마린커피,4.52,서울 용산구 이촌로 290 점보상가 1층 7호,"['월', '화', '수', '목', '금', '토', '일(9/4)']","['07:30 - 22:00', '07:30 - 22:00', '07:30 - 22:00', '07:30 - 22:00', '07:30 - 22:00', '08:00 - 22:00', '정기휴무 (매달 1, 3번째 일요일)']",2500.0,45,9,0,0,0,0,0,16,0,0,0,5,0,0,0,17,0,0,0
47,매머드익스프레스 중앙대점,4.4,서울 동작구 흑석로 101,"['월', '화', '수', '목', '금', '토', '일']","['07:30 - 23:30\n23:20 라스트오더', '07:30 - 23:30\n23:20 라스트오더', '07:30 - 23:30\n23:20 라스트오더', '07:30 - 23:30\n23:20 라스트오더', '07:30 - 23:30\n23:20 라스트오더', '08:00 - 23:30\n23:20 라스트오더', '08:00 - 23:30\n23:20 라스트오더']",900.0,486,170,0,0,0,0,0,110,0,0,0,0,0,0,23,428,0,0,0
48,멜로드,4.7,서울 동작구 상도로49길 7 1층 카페멜로드,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '10:00 - 20:00\n19:30 라스트오더', '10:00 - 20:00\n19:30 라스트오더', '10:00 - 20:00\n19:30 라스트오더', '10:00 - 20:00\n19:30 라스트오더', '11:00 - 20:00\n19:30 라스트오더', '11:00 - 20:00\n19:30 라스트오더']",3500.0,14,11,0,0,16,0,0,13,0,0,0,0,0,0,0,8,0,0,0
49,st.535로스터리카페,4.65,서울 동작구 상도로30길 40 두산위브트레지움 2차 상가 106호,"['월', '화', '수', '목', '금', '토', '일']","['07:30 - 18:00', '07:30 - 18:00', '07:30 - 18:00', '07:30 - 18:00', '07:30 - 18:00', '08:00 - 18:00', '08:00 - 18:00']",4500.0,43,15,10,0,0,0,0,22,0,0,0,9,0,0,0,0,0,0,0
50,뚜레쥬르 상도래미안점,4.39,서울 동작구 상도로37길 74 유내과의원,['매일'],['07:00 - 24:00'],3500.0,75,0,0,0,0,0,0,157,0,0,0,82,0,527,0,70,0,0,0
51,커피나무 상도점,4.59,서울 동작구 흑석로 10 한림고시원 1층 커피나무,['매일'],['07:30 - 23:00'],2000.0,23,7,0,7,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0
52,카페힐,4.4,서울 동작구 만양로2길 16,['매일'],['09:00 - 21:00'],2500.0,48,23,0,22,0,0,0,28,0,0,0,0,0,0,0,30,0,0,0
53,커피나무 중앙대정문점,4.43,"서울 동작구 흑석로 85-5 1, 2층","['월', '화', '수', '목', '금', '토', '일']","['08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00']",2000.0,21,7,0,0,17,0,0,13,0,0,0,0,0,0,0,5,0,0,0
54,공차 중앙대점,4.38,"서울 동작구 흑석로 83-2 2층, 3층","['월', '화', '수', '목', '금', '토', '일']","['09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00']",3900.0,0,220,0,35,0,0,0,62,0,0,0,0,0,0,26,0,0,0,113
55,흑석커피,4.49,서울 동작구 서달로14가길 5 1층,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '정기휴무 (매주 일요일)']",1800.0,40,0,0,0,8,0,0,11,0,0,0,11,0,0,0,0,0,8,0
56,브릿지엣지,4.31,서울 동작구 상도로53길 70 상가동 311호,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '정기휴무 (매주 일요일)']",1600.0,6,0,0,0,11,0,0,11,0,0,0,6,0,0,5,0,0,0,0
57,배스킨라빈스 중앙대,4.45,서울 동작구 흑석로 87,['매일'],['10:00 - 23:00'],-1.0,0,69,0,0,340,0,0,163,0,0,0,152,0,0,88,0,0,0,0
58,카페힐우드,4.98,서울 동작구 만양로 50,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 18:00\n17:50 라스트오더', '정기휴무 (매주 화요일)', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더', '10:00 - 18:00\n17:50 라스트오더']",-1.0,51,29,0,0,23,0,0,53,0,0,0,22,0,0,0,0,0,0,0
59,블루포트 중앙대학교102관점,4.37,서울 동작구 흑석로 84 중앙대학교 102관,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '정기휴무 (매주 일요일)']",1800.0,38,9,0,0,0,0,0,0,12,0,0,9,0,0,0,11,0,0,0
60,할리스 중앙대점,-1.0,서울 동작구 흑석로 77 지하~5층 (서울특별시 동작구 흑석동 205-3),['매일'],['07:00 - 23:00\n22:50 라스트오더'],4500.0,102,40,22,0,28,0,0,0,36,0,0,0,0,0,0,0,0,0,0
61,던킨 흑석DT점,-1.0,서울 동작구 현충로 101 (흑석동) 1층,"['월', '화', '수', '목', '금', '토', '일']","['07:00 - 23:00', '07:00 - 23:00', '07:00 - 23:00', '07:00 - 23:00', '07:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00']",-1.0,30,0,30,0,77,0,0,29,0,0,0,36,0,0,0,0,0,0,0
62,파리바게뜨 중앙대점,4.34,서울 동작구 흑석로 106-9,['매일'],['07:00 - 23:30'],1000.0,0,0,0,0,0,0,0,193,0,0,0,90,0,594,44,78,0,0,0
63,위드커피,4.39,서울 동작구 흑석로 4 1층,"['월', '화', '수', '목', '금', '토', '일(9/4)']","['09:00 - 21:30', '09:00 - 21:30', '09:00 - 21:30', '09:00 - 21:30', '09:00 - 21:30', '10:00 - 20:00', '정기휴무 (격주 일요일)']",2500.0,33,18,15,0,21,0,0,29,0,0,0,0,0,0,0,0,0,0,0
64,스마일꽈배기,-1.0,서울 동작구 현충로 92 스마일품찹쌀꽈배기,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '11:00 - 20:00', '정기휴무 (매주 일요일)']",1500.0,0,0,0,0,0,0,0,46,0,0,0,16,0,111,18,57,0,0,0
65,커피콩클럽,-1.0,서울 동작구 현충로 100,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00', '12:00 - 23:00']",4000.0,71,0,45,0,42,0,0,49,0,0,0,39,0,0,0,0,0,0,0
