,place,rate,address,store_date,store_time,price,커피가맛있어요,음료가맛있어요,인테리어가멋져요,대화하기좋아요,디저트가맛있어요,뷰가좋아요,사진이잘나와요,친절해요,집중하기좋아요,음식이맛있어요,매장이넓어요,매장이청결해요,주차하기편해요,빵이맛있어요,특별한메뉴가있어요,가성비가좋아요,재료가신선해요,좌석이편해요,차가맛있어요
66,던킨 중앙대병원점,4.34,서울 동작구 흑석로 102 중앙대학교병원,"['월', '화', '수', '목', '금', '토', '일']","['07:00 - 21:00', '07:00 - 21:00', '07:00 - 21:00', '07:00 - 21:00', '07:00 - 21:00', '07:00 - 20:00', '07:00 - 20:00']",-1.0,83,53,0,0,107,0,0,75,0,0,0,48,0,0,0,0,0,0,0
67,카페찌미스,-1.0,서울 동작구 양녕로 265 지하1층,"['월', '화', '수', '목', '금', '토', '일']","['13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '13:00 - 22:00\n21:30 라스트오더', '12:00 - 22:00\n21:30 라스트오더', '12:00 - 22:00\n21:30 라스트오더']",6000.0,0,10,10,6,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0
68,이디야커피 중앙대점,4.47,서울 동작구 흑석로 79,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '정보없음', '정보없음']",3200.0,60,26,0,0,14,0,0,21,0,0,0,0,0,0,0,19,0,0,0
69,엘에스와이랩,4.63,서울 동작구 노량진로 250,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '10:00 - 18:00', '10:00 - 18:00']",2500.0,27,7,0,6,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0
70,하드앤빈스,4.32,서울 영등포구 63로 45,['매일'],['07:30 - 22:00'],5000.0,35,11,0,6,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0
71,요세프,4.69,서울 동작구 현충로 114,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '10:00 - 20:00', '정기휴무 (매주 일요일)']",3000.0,28,0,0,0,26,0,0,25,0,0,0,14,0,0,16,0,0,0,0
72,더벤티 중앙대점,4.37,서울 동작구 흑석로 90 더벤티 중앙대점,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 21:00', '08:00 - 21:00']",-1.0,130,78,0,0,0,0,0,50,0,0,0,15,0,0,0,129,0,0,0
73,카페숨,4.34,서울 동작구 상도로 329 지하 1층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '11:00 - 22:00', '정기휴무 (매주 일요일)']",3500.0,39,12,0,16,11,0,0,23,0,0,0,0,0,0,0,0,0,0,0
74,경성찹쌀꽈배기 상도역점,4.25,서울 동작구 만양로 8,"['월', '화', '수', '목', '금', '토', '일']","['10:30 - 20:00', '정기휴무 (매주 화요일)', '10:30 - 20:00', '10:30 - 20:00', '10:30 - 20:00', '10:30 - 20:00', '10:30 - 20:00']",1500.0,0,0,0,0,0,0,0,36,0,0,0,8,0,84,4,34,0,0,0
75,이디야커피 숭실대역점,4.3,서울 동작구 사당로 2 이디야커피,['매일'],['09:00 - 22:00'],-1.0,48,33,0,0,11,0,0,14,0,0,0,0,0,0,0,18,0,0,0
76,탐앤탐스 중앙대점,4.34,서울 동작구 흑석로 105 2층,['매일'],['08:00 - 23:00\n22:30 라스트오더'],-1.0,108,47,0,38,36,0,0,0,0,0,0,35,0,0,0,0,0,0,0
77,메이카페,-1.0,서울 동작구 흑석로 23 2층,['매일'],['09:30 - 23:00\n22:30 라스트오더'],4500.0,12,4,0,0,0,0,0,9,15,0,0,6,0,0,0,0,0,0,0
78,카페디차,-1.0,서울 동작구 상도로47길 89,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 19:00', '08:00 - 19:00', '08:00 - 19:00', '08:00 - 19:00', '08:00 - 19:00', '09:00 - 18:00', '09:00 - 18:00']",-1.0,73,43,0,0,28,0,0,49,0,0,0,18,0,0,0,0,0,0,0
79,이디야 중앙대후문점,4.49,서울 동작구 흑석로 20 1층,['매일'],['08:00 - 22:00'],2500.0,13,7,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0
80,커피에반하다 중앙대점 스마트 무인카페,-1.0,서울 동작구 흑석동 105-2,['매일'],['00:00 - 24:00'],1000.0,17,1,0,0,0,0,0,0,0,0,0,2,0,0,2,11,0,0,0
81,카페필림,4.49,서울 동작구 흑석로 8-1,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00']",3000.0,17,4,0,0,0,0,0,14,6,0,0,0,0,0,0,6,0,0,0
82,달콩커피,4.58,서울 동작구 상도로37길 77 원왕빌딩,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 20:00\n19:50 라스트오더', '10:00 - 20:00\n19:50 라스트오더', '10:00 - 20:00\n19:50 라스트오더', '10:00 - 20:00\n19:50 라스트오더', '10:00 - 20:00\n19:50 라스트오더', '10:00 - 21:00\n20:50 라스트오더', '10:00 - 20:00\n19:50 라스트오더']",-1.0,46,21,0,0,0,0,0,25,0,0,0,13,0,0,0,18,0,0,0
83,카페비온후,4.23,서울 동작구 현충로 115 명수대상가 1층 카페 비온후,"['월', '화', '수', '목', '금', '토', '일']","['08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:50 - 22:00', '08:50 - 22:00']",3500.0,9,3,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0
84,커피인더스터디,4.33,서울 동작구 만양로3길 20 2층 201호,['매일'],['09:30 - 23:00'],-1.0,29,0,18,0,0,36,0,32,0,0,0,0,0,0,21,0,0,0,0
85,라임플레쉬카페,4.28,서울 동작구 서달로 132 1층. B1 .라임플레쉬카페,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00']",30000.0,16,5,0,9,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0
86,메가MGC커피 상도중앙점,-1.0,서울 동작구 만양로 14 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '08:00 - 23:00', '09:00 - 23:00', '09:00 - 23:00']",-1.0,40,18,0,0,0,0,0,14,0,0,0,7,0,0,0,29,0,0,0
87,데일리커피,-1.0,서울 동작구 서달로 150 이랜드해가든상가 1층 116호,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 18:00', '09:00 - 18:00', '09:00 - 18:00', '09:00 - 18:00', '09:00 - 18:00', '정기휴무 (매주 토요일)', '정기휴무 (매주 일요일)']",-1.0,9,6,0,0,3,0,0,11,0,0,0,4,0,0,0,0,0,0,0
88,카페드림 중앙대법학관점,-1.0,서울 동작구 흑석로 84 중앙대학교 303관 6층,"['월', '화', '수', '목', '금', '토', '일']","['08:20 - 19:30', '08:20 - 19:30', '08:20 - 19:30', '08:20 - 19:30', '08:20 - 19:30', '08:30 - 17:00', '정기휴무 (매주 일요일)']",2100.0,17,4,0,0,3,0,0,8,0,0,0,0,0,0,0,11,0,0,0
89,블루버블 버블티,-1.0,서울 동작구 흑석로 85,['매일'],['12:00 - 21:00'],3900.0,0,8,4,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0,0
90,63베이커리,4.4,서울 영등포구 63로 50 한화생명빌딩 GF층,"['월', '화', '수', '목', '금', '토', '일']","['07:00 - 19:00', '07:00 - 19:00', '07:00 - 19:00', '07:00 - 19:00', '07:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00']",3000.0,48,16,0,0,0,0,0,25,0,0,0,22,0,125,0,0,0,0,0
91,카페린91,4.52,서울 동작구 현충로14길 2 1층,['매일'],['09:00 - 20:00'],3500.0,14,12,0,6,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0
92,파리바게뜨 노들역점,4.26,서울 동작구 매봉로 180 (본동),['매일'],['07:00 - 23:30'],-1.0,22,0,0,0,0,0,0,130,0,0,0,49,0,264,0,28,0,0,0
93,빅토리아가든,4.42,서울 동작구 매봉로 51 1층 빅토리아,"['월', '화', '수', '목', '금', '토', '일']","['08:30 - 20:00', '08:30 - 20:00', '08:30 - 20:00', '08:30 - 20:00', '08:30 - 20:00', '10:00 - 20:00', '10:00 - 20:00']",3000.0,22,8,4,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
94,모코커피,4.53,서울 동작구 서달로13길 11-15,['매일'],['10:00 - 22:00'],-1.0,28,6,0,5,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0
95,아마스빈 중앙대점,4.46,서울 동작구 흑석로 88 102호,[],[],1800.0,17,19,0,0,4,0,0,5,0,0,0,0,0,0,0,6,0,0,0
96,문커피,4.67,서울 동작구 상도로47가길 48,['매일'],['09:30 - 22:00'],-1.0,41,22,0,0,0,0,0,37,0,0,0,9,0,0,0,24,0,0,0
97,메가MGC커피 중앙대점,-1.0,"서울 동작구 흑석로 103 1, 2층",['매일'],['07:30 - 22:30'],3000.0,127,31,0,0,10,0,0,21,0,0,0,0,0,0,0,61,0,0,0
98,카페 러브구스토,-1.0,서울 동작구 상도로45길 10,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 19:00', '10:00 - 14:00', '정기휴무 (매주 일요일)']",-1.0,7,0,0,0,6,0,0,6,0,0,0,4,0,0,0,4,0,0,0
99,카페 빈,4.13,서울 동작구 강남초등길 10 1층 카페 빈,"['월', '화', '수', '목', '금', '토', '일']","['08:30 - 21:00\n20:45 라스트오더', '08:30 - 21:00\n20:45 라스트오더', '08:30 - 21:00\n20:45 라스트오더', '08:30 - 21:00\n20:45 라스트오더', '08:30 - 21:00\n20:45 라스트오더', '09:30 - 19:00\n18:45 라스트오더', '정기휴무 (매주 일요일)']",2800.0,15,4,0,0,2,0,0,7,0,0,0,0,0,0,0,4,0,0,0
100,스노우플라워,4.29,서울 동작구 서달로 167,[],[],7000.0,9,3,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0
101,파리바게뜨 상도건영점,4.23,서울 동작구 만양로 12 (상도동 20-8) 은혜빌딩103~105호,[],[],-1.0,0,0,46,0,0,0,0,146,0,0,0,155,0,420,0,51,0,0,0
102,더치앤빈 흑리단길점,4.39,서울 동작구 서달로14길 40,[],[],2800.0,65,22,0,0,0,0,0,44,0,0,0,20,0,0,0,21,0,0,0
103,오티움 로스터리,-1.0,서울 동작구 양녕로 279 1층,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '11:00 - 20:30', '11:00 - 20:30', '11:00 - 20:30', '11:00 - 20:30', '11:00 - 20:30', '11:00 - 20:30']",4300.0,21,6,0,0,0,0,0,16,4,0,0,8,0,0,0,0,0,0,0
104,리치몽브레까페,4.75,서울 동작구 서달로 158 2층,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 21:00', '10:00 - 21:00', '10:00 - 21:00', '10:00 - 21:00', '10:00 - 21:00', '정보없음', '정보없음']",2500.0,8,0,0,3,0,0,0,6,0,0,0,0,0,7,2,0,0,0,0
105,카페 더테이블,4.78,서울 동작구 성대로 87 101호,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:30', '08:00 - 20:30', '08:00 - 20:30', '08:00 - 20:30', '08:00 - 20:30', '09:00 - 20:00', '정기휴무 (매주 일요일)']",3500.0,25,11,0,0,21,0,0,15,0,0,0,0,0,0,14,0,0,0,0
106,이레호두,4.45,서울 동작구 양녕로 282 현대슈퍼,"['월', '화', '수', '목', '금', '토', '일']","['08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00', '08:30 - 21:00', '정기휴무 (매주 일요일)']",3500.0,6,0,0,0,44,0,0,26,0,0,0,0,0,0,6,16,0,0,0
107,참베이커리,4.41,서울 동작구 상도로37길 78,['매일'],['08:00 - 22:00'],-1.0,0,0,0,0,0,0,0,11,0,0,0,6,0,40,7,5,0,0,0
108,카페 루반,-1.0,서울 동작구 흑석동 340-1,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '09:00 - 18:00', '09:00 - 18:00', '09:00 - 18:00', '09:00 - 18:00', '09:00 - 17:00', '09:00 - 17:00']",1500.0,33,0,14,16,0,0,0,16,0,0,0,0,0,0,0,15,0,0,0
109,투앤나인,4.46,"서울 동작구 매봉로 1 김영삼도서관 2층, 9층","['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 17:00', '09:00 - 17:00']",2500.0,64,21,0,0,25,0,0,59,0,0,0,24,0,0,0,0,0,0,0
110,베이커즈원,4.26,서울 동작구 현충로 131,['매일'],['08:00 - 22:00'],3500.0,36,0,0,12,29,0,0,25,0,0,0,16,0,0,0,0,0,0,0
111,브레드덕,4.44,서울 동작구 상도로30길 39,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '정기휴무 (매주 일요일)']",3500.0,0,0,0,0,0,0,0,73,0,0,0,19,0,348,69,27,0,0,0
112,우리동네식빵,4.3,서울 동작구 만양로 44,[],[],-1.0,0,0,0,0,0,0,0,14,0,0,0,5,0,111,8,12,0,0,0
113,오카페 흑석점,4.29,서울 동작구 서달로14라길 29,[],[],-1.0,17,6,0,0,5,0,0,3,5,0,0,0,0,0,0,0,0,0,0
114,브라운필투,4.72,서울 동작구 상도로37길 72 B 01호,"['월', '화', '수', '목', '금', '토', '일']","['11:30 - 19:00', '11:30 - 19:00', '11:30 - 19:00', '11:30 - 19:00', '11:30 - 19:00', '10:00 - 19:00', '10:00 - 19:00']",1000.0,136,0,0,0,58,0,0,68,0,0,0,30,0,0,0,53,0,0,0
115,뚜레쥬르 중앙대100주년관점,-1.0,서울 동작구 흑석로 84 100주년기념관,['매일'],['07:00 - 23:00'],-1.0,24,15,0,0,0,0,0,19,0,0,0,0,0,90,0,33,0,0,0
116,리치몽브레 흑석점,4.38,서울 동작구 서달로 158,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00']",-1.0,14,0,0,0,0,0,0,64,0,0,0,0,0,178,16,37,0,0,0
117,오롯이 굽다,4.52,서울 동작구 상도로37길 55,[],[],-1.0,0,0,0,0,0,0,0,35,0,0,0,11,0,92,10,11,0,0,0
118,정우원,4.49,서울 동작구 장승배기로 53 1층,"['월', '화', '수', '목', '금', '토', '일']","['10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00', '10:00 - 22:00']",4500.0,7,13,0,9,0,0,0,16,0,0,0,0,0,0,15,0,0,0,0
119,카페노들수,4.53,서울 동작구 노량진로 223 예쁜입시미술학원,"['월', '화', '수', '목', '금', '토', '일']","['정기휴무 (매주 월요일)', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '09:00 - 20:00', '11:00 - 20:00', '11:00 - 18:00']",-1.0,22,13,0,0,13,0,0,14,0,0,0,0,0,0,0,5,0,0,0
120,파리바게트 상도역점,-1.0,서울 동작구 양녕로 266 1층,['매일'],['07:00 - 22:30'],2900.0,18,6,0,0,0,0,0,19,0,0,0,24,0,187,0,0,0,0,0
121,흑석제과,4.26,서울 동작구 서달로 162,[],[],-1.0,0,12,0,0,0,0,0,65,0,0,0,0,0,218,15,109,0,0,0
122,커피킹,4.71,서울 동작구 흑석로 95-1 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '09:00 - 22:00', '09:00 - 22:00']",1500.0,124,91,0,0,0,0,0,81,0,0,0,46,0,0,0,112,0,0,0
123,BGT호두단팥빵 숭실대역점,4.5,서울 동작구 상도로 370-1,"['월', '화', '수', '목', '금', '토', '일']","['07:00 - 22:00', '07:00 - 22:00', '07:00 - 22:00', '07:00 - 22:00', '07:00 - 22:00', '07:00 - 22:00', '정기휴무 (매주 일요일)']",1500.0,18,0,0,0,0,0,0,49,0,0,0,22,0,270,0,62,0,0,0
124,갓프레소 본점,4.59,서울 동작구 상도로53길 45 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '08:30 - 22:00', '10:00 - 22:00', '10:00 - 19:00']",3000.0,13,1,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0
125,커피더캠프 흑석역점,4.57,서울 동작구 현충로 지하 90 9호선 흑석역 지하 1층 매장 1번,[],[],-1.0,101,63,39,0,0,0,0,76,0,0,0,56,0,0,0,0,0,0,0
126,중앙대310관 카페,4.4,서울 동작구 흑석로 84,[],[],1800.0,116,60,0,0,28,0,0,0,22,0,0,0,0,0,0,64,0,0,0
127,델리앤젤라또 중앙대병원점,4.54,서울 동작구 흑석로 102,[],[],-1.0,49,25,0,0,20,0,0,13,0,0,0,10,0,0,0,0,0,0,0
128,중앙대학교경영관카페드림,4.07,서울 동작구 흑석로 84 310관 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '09:00 - 18:00']",-1.0,25,21,0,0,0,0,0,23,0,0,0,12,0,0,0,26,0,0,0
129,아이스조아 상도6호점,4.43,서울 동작구 매봉로 66 1층,[],[],400.0,0,27,0,0,56,0,0,44,0,0,0,122,0,0,0,204,0,0,0
130,가성비,4.37,서울 동작구 사당로 2 서쪽 1층,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '08:00 - 20:00', '정기휴무 (매주 일요일)']",2000.0,8,1,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0
131,더웨이,4.39,서울 동작구 상도로 357,['매일'],['11:00 - 21:30'],2000.0,3,4,2,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0
132,블루포트,4.38,서울 동작구 흑석로 84 301관,[],[],1500.0,40,7,0,0,5,0,0,11,0,0,0,0,0,0,0,9,0,0,0
133,빽다방 숭실대점,-1.0,서울 동작구 사당로 10 빽다방,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '10:00 - 21:00', '10:00 - 21:00']",1500.0,117,88,0,0,0,0,0,73,0,0,0,53,0,0,0,89,0,0,0
134,언니의식빵가게,4.46,서울 동작구 서달로14바길 15,[],[],-1.0,0,2,0,0,0,0,0,6,0,0,0,0,0,24,2,2,0,0,0
135,모코커피,4.42,서울 동작구 만양로 19 단지내상가 1층 107호,['매일'],['10:00 - 20:00'],3500.0,9,0,0,3,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0
136,요거프레소 중앙대점,4.55,서울 동작구 흑석로8길 1,[],[],-1.0,14,14,0,0,10,0,0,7,0,0,0,0,0,0,0,7,0,0,0
137,커피집,4.36,서울 동작구 상도로30길 40,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '08:00 - 21:00', '08:00 - 22:00', '08:00 - 22:00', '09:00 - 22:00']",3500.0,45,13,0,0,7,0,0,10,0,0,0,0,0,0,11,0,0,0,0
138,커피향기,4.58,서울 동작구 상도로 331 신성약국,"['월', '화', '수', '목', '금', '토', '일']","['09:30 - 23:00', '09:30 - 23:00', '09:30 - 23:00', '09:30 - 23:00', '09:30 - 23:00', '09:30 - 23:00', '12:00 - 23:00']",-1.0,42,18,0,0,0,0,0,25,0,0,0,0,0,0,10,14,0,0,0
139,배스킨라빈스 숭실대점,4.36,서울 동작구 상도로 364-1,['매일'],['11:00 - 22:30'],-1.0,0,95,0,0,396,0,0,219,0,0,0,201,0,0,69,0,0,0,0
140,카페잇 중앙대병원점,4.28,서울 동작구 흑석로 102 중앙대학교병원,"['월', '화', '수', '목', '금', '토', '일']","['07:30 - 21:00', '07:30 - 21:00', '07:30 - 21:00', '07:30 - 21:00', '07:30 - 21:00', '07:30 - 19:00', '11:00 - 17:00']",3100.0,72,27,0,0,40,0,0,32,0,0,0,15,0,0,0,0,0,0,0
141,메가MGC커피 숭실대입구역점,4.52,서울 동작구 상도로 362-1,"['월', '화', '수', '목', '금', '토', '일']","['08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '08:00 - 22:00', '09:00 - 22:00']",-1.0,304,143,0,0,0,0,0,119,0,0,0,46,0,0,0,206,0,0,0
142,바리스타조앤,4.23,서울 동작구 서달로14가길 1,['매일'],['09:00 - 23:00'],-1.0,76,24,0,23,0,0,0,23,0,0,0,16,0,0,0,0,0,0,0
143,어펜딕스,3.82,서울 동작구 흑석로 84 의학관,[],[],-1.0,5,5,0,0,0,0,0,7,0,0,0,5,0,0,0,7,0,0,0
144,블루포트 중앙대학교301관점,-1.0,서울 동작구 흑석로 84 중앙대학교 301 관3층,[],[],-1.0,41,17,0,0,0,0,0,8,0,0,0,10,0,0,0,21,0,0,0
145,GOODDAY COFFEE,4.08,서울 동작구 노량진로 256,[],[],-1.0,13,4,0,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0
146,스타벅스 숭실대입구역점,4.47,서울 동작구 상도로 354,"['월(8/29)', '화(8/30)', '수(8/31)', '목(9/1)', '금(9/2)', '토(9/3)', '일(9/4)']",[],-1.0,548,167,0,0,150,0,0,227,0,0,0,149,0,0,0,0,0,0,0
147,커피브라운,-1.0,서울 동작구 양녕로 269-1,"['월', '화', '수', '목', '금', '토', '일']","['09:00 - 22:00\n21:30 라스트오더', '09:00 - 22:00\n21:30 라스트오더', '09:00 - 22:00\n21:30 라스트오더', '09:00 - 22:00\n21:30 라스트오더', '09:00 - 22:00\n21:30 라스트오더', '09:00 - 22:00\n21:30 라스트오더', '10:00 - 22:00\n21:30 라스트오더']",-1.0,8,0,0,5,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0
148,크로플덕 오리아가씨 서울대입구점,-1.0,서울 관악구 청림3길 13 1층,"['월', '화', '수', '목', '금', '토', '일']","['11:00 - 새벽 02:00', '11:00 - 새벽 02:00', '11:00 - 새벽 02:00', '11:00 - 20:00', '11:00 - 새벽 02:00', '11:00 - 새벽 02:00', '11:00 - 새벽 02:00']",2900.0,0,13,0,0,27,0,0,10,0,0,0,0,0,0,7,8,0,0,0
149,카페모찌 중앙대점,4.25,서울 동작구 흑석로 102,[],[],2500.0,22,11,0,0,4,0,0,6,0,0,0,0,0,0,0,7,0,0,0
150,카페아드리아,4.31,서울 동작구 서달로 142,[],[],-1.0,14,5,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,3,0
151,매머드커피 상도역점,4.38,서울 동작구 양녕로 272,[],[],-1.0,12,0,0,0,0,0,0,23,0,0,13,15,0,0,0,15,0,0,0
152,마담콩cafe,4.36,서울 동작구 서달로12가길 8,[],[],-1.0,20,9,0,0,9,0,0,13,0,0,0,0,0,0,0,11,0,0,0
153,쉬어가는모퉁이커피한잔,4.31,서울 동작구 상도로55길 1,[],[],-1.0,7,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0
154,보트커피,4.75,서울 동작구 장승배기로 56 지층 카페,"['월(8/29)', '화(8/30)', '수(8/31)', '목', '금', '토', '일']","['휴무', '휴무', '휴무', '08:00 - 20:00', '08:00 - 20:00', '09:00 - 17:00', '정기휴무 (매주 일요일)']",3000.0,37,24,0,0,0,0,0,35,0,0,0,0,0,0,13,20,0,0,0
155,비틀쥬스 중앙대학교병원점,-1.0,서울 동작구 흑석로 102 B115호,[],[],-1.0,1,12,0,0,6,0,0,7,0,0,0,0,0,0,6,0,0,0,0
156,셀렉토커피 상도두산점,4.28,서울 동작구 상도로30길 40,['매일'],['08:00 - 22:00'],-1.0,29,15,0,0,6,0,0,18,0,0,0,0,0,0,0,6,0,0,0
